,reviews,stars,date,country
66,I flew from Munich to Boston via Heathrow T5 (15 August 2014): Munich to Heathrow first flight out of Munich at 7.20. The flight was good leaving on time but due to flight delayed arriving from London the night before so we did not get breakfast served on business class. From Heathrow T5 to Boston as the flight was nice but the business seat was OK nothing special in comparison to other Airline like Iberia business which is much nicer. The cabin crew was nice and friendly food was nice as I have selected to have only salad instead of hot meal. I managed to have a good rest all the way to Boston after the meal.,1,26th August 2014,Germany
67,LHR-EWR Club World. Offered 400 GBP upgrade from Prem Econ a day prior. T5 lounge experience positive - good selection of food which was well labelled. Had a treatment - chair massage and Elemis staff were most attentive. Dreamliner is a great way to fly - although delayed half an hour arrived ahead of time. Felt relaxed - addressed by name throughout and the crew was friendly and yes smiled. Two hot towel services and the multi course dinner was served without fuss. Not sure about the wash bag- although it is more convenient to carry off. Entertainment options are excellent. Baggage waiting for me at carousel. Good flight for BA.,7,26th August 2014,United States
68,BA 56 JNB-LHR 15 August 2014 Business class A380 upper deck. The flight did not live up to expectations. Too many seats makes business class cabin look crowded narrow seats with each row facing in opposite direction no problem with this but this impedes free movement for some of the seats specially the ones in the middle and window side also not much space for storage of personal items like specs etc. The window blinds of this section in upper deck were kept lowered through the entire 11 hr flight with no cue of any outside light whatsoever until we landed at Heathrow and parked to the stand felt like sitting in a light proof box with artificial illumination. I thought you need to keep the blinds open for landing and take off? The 747 business class is more comfortable than A380.,8,26th August 2014,United Kingdom
69,We paid £2500 to upgrade to world traveller plus when we got to departure lounge we were upgraded to business class which was brilliant but air hostess made a point of letting us known plus other people that we had a free upgrade. On the return journey in world traveller plus not happy table broken and air steward very sarcastic food very bad plus stewards seemed as if they were doing you a favour. Paid a lot of money to fly to Maldives have no choice to fly BA to go direct stewards male or female need to remember that we are customers paying a lot of money for a service.,5,26th August 2014,United Kingdom
70,LGW-TFS-LGW Club Europe. Travelled with hand baggage only given the well publicised issues with Swissport baggage handling at LGW. Outbound flight (15/7/2014) was BA at its best. On time departure (a rarity it seems at LGW for BA) A320 in fair condition with additional leg room in Club Europe and two excellent flight attendants. The return (22/7/2014) was a different story. Probably my worst BA flight ever. Delayed departure from TFS though only about 10 minutes late in arrival at LGW. No additional leg room on this A320 in Club Europe. Lazy cabin crew who did the bare minimum with limited grace. And screaming infants out of control toddlers and ignorant teenagers in the Club Europe cabin - not the airline's fault but they could have and should have done more to manage the situation. One example - two teenagers in row 1 immediately reclined their seats into the faces of the couple in front of us after take off. The cabin crew didn't even make the teenagers raise their seats during the meal service. All credit to the couple in front of us though. They had the manners not to recline their seats into our faces. The substantial premium to fly Club Europe is just not worth it when other people's children are not controlled and the promised additional 'personal space' is not provided. Scores are an average of both flights: outbound top marks across the board (bar entertainment there was none) inbound I would have preferred to score zero.,1,20th August 2014,United Kingdom
71,18 August 2014 Gatwick to Orlando flight details and departure went well. However when the food was served on the flight there was limited choice chicken or sausages which was fine until they ran out and then could only offer the veggie option which was pasta which my Father in Law doesn't eat so he ended up with 2 bread rolls as his lunch/dinner. This was served within the first hour of our over 8 hour flight and then 7 hours later we were served a snack which only had one option coronation chicken (chicken again!) which only 2 in our party of 6 liked. Again my Father in Law had nothing as he was 1 of the 4. Pretty poor show British Airways as we travelled with Virgin to Mexico in June this year economy class and they offered a menu with three choices for lunch/dinner with enough for everyone! Again when the snack was served option were given and enough for all. Virgin also provided a very good entertainment system with up to date films TV and games which was something you need on a long journey again BA was not able to provide. BA your competitors are definitely offering more value for our money! I wouldn't not fly BA again as I don't like to limit my choices however I would definitely prefer to fly Virgin in future. In my opinion all flights should have enough food for all of their passengers and look at what they are offering as coronation chicken didn't go down well with a large number of passengers what's happened to good old ham or cheese?,6,20th August 2014,United Kingdom
72,I flew London to Beijing in Club World on BA039 on Aug 7. The cabin was a disgrace. I sat in the upper deck seat 62A and what worried me was the filthy window the metallic looking tape on the emergency exit door and the foam strip that was hanging down. In addition the carpet and lockers were filthy inside. Food and service were excellent but I will vote with my wallet and boycott BA from now on wherever possible.,7,20th August 2014,United Kingdom
73,We flew from LHR to Luxembourg on an afternoon flight we enjoyed a delicious afternoon tea and champagne because it was my husbands birthday. Flight attendants very efficient and jolly we felt very much as if we were having a really nice birthday celebration up in the sky! Baggage received very quickly on both flights. We travelled back in economy and it was really good with drinks and a biscuit or crisps. Only problem was that there was no place for the aircraft to park up when we got in due to bad weather. We were off as quickly as they could so it wasn't too bad!,3,18th August 2014,United Kingdom
74,We flew the A380 from LAX-LHR-JNB-LHR-LAX in August 2014 in business class. This plane was designed by someone who never flew it. The seats are so close together with no room on the window side to get out when the seats are flat. A person has to put up the foot rest for a place to stand and then step over the person next to them to get out into the aisle. In addition the person on the window seat gets all the food handed to them in front of the face of the person on the aisle. They have put so many people in each row that the seats are very narrow. There is virtually no place ( a small drawer at the seat) for personal items to be used during the flight without getting out of the seat to get something from the overhead.,10,18th August 2014,United States
75,My journey was from BOM to LHR (I had a connecting flight from LHR to MIA surprisingly enough the transit at LHR wasn't all that bad). Aircraft 777-200. Got a complimentary upgrade from World Traveler to World Traveler Plus. The seat was good and spacious service was professional and the food was nice especially the English breakfast that was served prior to landing. The only drawback was the absence of overhead air vents which at times made it a little stuffy and the in-flight entertainment which lacked the variety of Emirates for example. Overall a pleasant experience. Wouldn't mind flying with BA again at all.,2,18th August 2014,United States
76,Sad to say BA missed a big opportunity when their new 787 and A380 entered service. Same old sub standard business class seating as on the retired 747s. Compared to many airlines the BA premium service is poor and I don't know how they keep a 4 star rating. The cabin crew were excellent though I will concede. Food was very poor with my steak ruined because it was swimming in grease (laughingly referred to as jus) which mixed with the hollandaise sauce to make a disgusting mess. The 787 was good and BA have improved their IFE system but screens are small and have to be stowed for take off and landing unlike those in economy and premium. Pay more get less.,8,18th August 2014,United Kingdom
77,Flew Sydney - Singapore - London return. Thoroughly enjoyed both flights good food good service. Would definitely use again 2015 for planned flight to Oslo. Thank you British Airways.,3,13th August 2014,Australia
78,LHR - Houston - LHR. Two of us travelled using Avios and Amex companion voucher. Excellent cabin crew on both sectors very good selection of wine and food pretty decent particularly outbound. The staff in Houston even found and returned my iPod which I had left on the aircraft on the outbound sector.,10,13th August 2014,United Kingdom
79,I was on BA 835 from Dublin to LHR on 25th July 2014 which left Dublin at 13.05 and my travel plans were such that I had sufficient time to connect with my flight from LHR to Hong Kong. On leaving Dublin the pilot opined that it was a good day to fly! On reaching LHR we were informed that due to thunderstorms we were to be diverted to Gatwick and were running out of fuel. In summary we sat on the tarmac at Gatwick for over two hours with only scant updates as to when we would be taking off for LHR and the temperature inside the cabin became oppressive which added to the misery. On reaching LHR BA staff were in my opinion ineffectual with a 'sorry and shrug of the shoulders' and with no real assistance for those passengers on connecting flights. I was lucky as I managed to get on my flight to Hong Kong with Cathay Pacific but with only moments to spare after a dash to terminal 3. Whilst I understand the volatility of the weather the real point of my review is that BA appears to have abandoned the basics of customer service and this is clearly reflected in BA's absence in the top 10 airline ratings. Could do a lot better!,9,13th August 2014,Ireland
80,Flight BA 937 Dusseldorf to London on 13th March and BA 932 back to Dusseldorf on 15th March. Both flights served by Airbus A319. Cabin was in a good shape seat pitch 34 inch and the width 17 inch. Lounge in DUS (Airport owned Lounge) is quite nice but nothing special Lounge of BA in LHR T5 is very good with a lot of space even it was very busy at this time but anyway we know it from other times when it was quite empty. No check-in because of hand luggage only. BA 937 was delayed for about 1 hour due to foggy weather in London so the very nice staff start to serve Drinks to reduce the waiting time on ground. Brunch served after takeoff a choice between a cold platter with assorted cheese and meat and bread/rolls or a warm cheese and ham croissant and salad. Drinks including Champagne were served twice. More enough for that relatively short flight. Check-in for BA 932 (bought liquids) in T5 was very quick also friendly staff. BA Lounge as I wrote was busy but worth it to reduce waiting time. Very nice flight attendants drinks served 3 times light Dinner with mixed salad. No real Inflight Entertainment (like on most IntraEuropean Flights) small TV´s with flight information.,4,13th August 2014,Germany
81,Heathrow to Newark on 787. Flight was pleasant and comfortable. Left Heathrow 1 hour late but arrived on time. Seat was comfortable and food was ok. Service was excellent but had to walk outside in the rain to catch a bus to take us to our plane. Would recommend BA due to service and Heathrow T5.,9,13th August 2014,United Kingdom
82,BA25 Aug 8th LHR-HKK. Club World. Upper deck. Overall a good flight. The service was a bit robotic. Pre- departure drinks offered. Main and breakfast served. For the main course I opted for the healthy / light meal which was tasty and just what I wanted as I was trying to avoid a heavy meal before bed. I was surprised at the limited wine selection: Two whites and two reds. I had a NZ Sauv Blanc which was tasty but 'connoisseurs' may have felt restricted by choice. The staff were overall very pleasant and happy to help when asked but just weren't pro-active. Passengers (myself included) were having to ask for things that should have been attended to without request. They seemed 5 minutes too slow for drink rounds meal service etc. This is a small complaint however as I managed a solid 7 hours of sleep and the overall experience was good. The entertainment system on the A380 is much improved and is as good as any I have flown VSSG etc. The window seat is certainly more private and feels much more spacious with the storage compartments under the windows and I would recommend these - especially over middle seats. All in all a solid business class but still lagging behind the likes of CX or SG primarily because of service and seat layout. There is a 'Britishness' to the product which still makes me smile.,8,13th August 2014,United Kingdom
83,"June 25th 2014. My wife and daughter boarded in Boston. The door was closed and we were ready to depart for London. Then a baggage cart hit the airplane. We deplaned and that was understandable. After an hour we were told the plane would not depart and there was no room on any other planes for days. ""Call your friends - make your own arrangements!"" was the only customer relations help offered by British Airways. The BA help on the ground said there were no hotels on vouchers. I really yes really thought British Airways was the standard of air travel. If you have any alternative do not book British Airways. They're great as long as everything is going as planned. If anything goes wrong they are a confused people who have no idea how to help you.",8,13th August 2014,United States
84,Travelled LHR-YYZ BA97 on 9 July returning BA96 28July. Check-in at LHR an absolute breeze including security which took only 5 minutes. Galleries Lounge at the south end of T5 awful with poor food dirty furniture and smelly toilets. Outbound aircraft was G-BNLG surely one of the most ancient 747s in existence judging by the state of the interior at least in the main cabin. On boarding all the window shades were down (10.20 departure) and stayed down for the entire flight including take-off and landing most peculiar. The head cabin service person said it was to keep the sun out - I have questioned if this is a new BA policy for daytime flights. Departed and arrived a few minute late no issue. Food and service very average as usual nowhere near the standards of international Business Class elsewhere. Immigration and baggage delivery in YYZ very swift. For the return again the departure formalities were quick and painless ; the lounge at Pearson is ok but nothing special. Aircraft this time was G-BGYC the upper deck was in reasonable condition although as always with BA's Club World seating there is little stowage space and the whole backwards/forwards concept is something I personally dislike. Food almost non-existent on this 2310 departure and most people slept: this would be understandable if a proper breakfast was on offer. Unfortunately it was no better than going to McDonalds with some unripe fruit and a sort of egg and bacon muffin - just awful. Also the person in the window seat did have something to eat and drink and every time the crew member came with his orders he would lower the partition to pass them through with all the disturbance that creates. Is this service policy poor seat design or lazy crew? Flight on time arrival processes ok but baggage delivery slow. All in all the experience was what I expect from BA these days average at best.,1,11th August 2014,United Kingdom
85,Flight from Heathrow to Newark. The new Dreamliner was fantastic. Very comfortable quiet and clean. The cabin crew were superb very professional with customer service being their priority. I appreciate that flying on a new aircraft makes a difference to the flight however if BA continue to invest in their fleet and maintain and excellent level of customer service I can see no other reason to fly with another carrier especially when considering BA's avios points usage which allows all of your points to be spent on flights. Virgin however dictate how many points you can spend on each flight. I've flown with BA and Virgin many times it was a nice attempt by Virgin advertising themselves in terminal 5 however when you're sat in terminal 5 after experiencing a quick and easy run through the terminal about to board a brand new aircraft it's hard to see the advertisements working.,3,11th August 2014,United Kingdom
86,Great service from LCY-Angers in western France on Embraer 175. London City Airport is so very convenient for London dwellers and the flights were very comfortable. Saturday flight outbound was totally full but on time attentive cabin crew very comfortable and not even the breakfast of a disappointingly hard croissant with ham and cheese could spoil the positive impression. Coming back on the Wednesday was less than half-full so double drinks and snacks all round! Tickets were £120 return which seems very reasonable considering the alternative for the region is Ryanair to Tours from Stansted for almost as much and once you factor in the extra price of luggage and snacks with them BA wins hands down.,9,6th August 2014,United Kingdom
87,06.40 flight 4 August Glasgow to London City cancelled with no explanation. Typical BA service nobody about to assist with alternative arrangements or any concept of customer care. So much for the worlds favourite airline. Third rate which is what I have come to expect from them.,10,6th August 2014,United Kingdom
88,LIS-LHR on 30 July J class on an Airbus 320. I was expecting more however I was disappointed. Seat was OK but not particularly comfortable food just average with a choice of a fruit or meat platter either very poor. Cabin crew in an automatic mode no smiling whatsoever more interested in chatting in front of the cabin and complaining about not sure what. No inflight entertainment altogether not even a shared movie. However we departed on time and arrived 15 min before schedule and the price was the cheapest ever for a Business Class seat. Will fly BA again but I am more keen to Intercontinental flights where the quality is superior than European routes.,1,4th August 2014,Canada
89,Upgraded from Premium Economy to Business from YVR (Vancouver) to LHR (London). The Club World cabin was full and a couple of the passengers had been upgraded to First. Despite this the staff were friendly and helpful although the food wasn't that great (the chocolate desert was delicious though). Seat is nice and wide but if you're facing rearwards on the 747 you could be sitting right next to someone you don't know. The IFE had a lot of choice and had many new movies to chose from. Altogether a good flight.,6,2nd August 2014,Switzerland
90,Upgraded to business class on return flight from Verona. Absolute disgrace. Flight left around 11.30pm but lounge closed at 9.20pm. Lounge was awful dirty and very little in the way of business class facilities. Flight was cattle class and I have seen more organisation and courtesy on an easyjet flight. Boarding was like a rugby scrum with no priority boarding and then spent 20 minutes on an a bus with no air conditioning crammed packed in hot conditions. Flight had run out of food. Worst flight in memory and absolute shocking customer service. Absolute joke and how they have the audacity to claim it was business class they should be accountable n the trade descriptions act.,7,2nd August 2014,United Kingdom
91,AMS-LCY economy. Embraer aircraft only half-full at most and on time. For such a short flight a high standard of cabin service with wine and a small snack offered. An excellent flight in all respects.,1,2nd August 2014,Australia
92,Porto-LHR economy. Pushed back late but arrived on time. Flight was full but good cabin service with sandwiches and drinks. A very good standard overall.,10,2nd August 2014,Australia
93,LHR-SIN 26 July 2014. Upgraded from WTP to Club World before I even had the chance to ask. Value for money was a '5' because I didn't pay for the flight! Flight went well and I even managed some sleep on the fold flat bed. Cabin crew were pleasant and helpful one of the attendants retrieved his own USB adapter from his luggage so that I could charge my phone (I was a little surprised that there wasn't a USB port at my seat - upstairs 747). The same attendant appeared in the passport control hall and called out - without success unfortunately - looking for a passenger who had left his glasses behind. Food was absolutely fine and the Burgundy a little too drinkable. This was probably up there as one of the better flights I've taken - most are done under sufferance but this one was pretty good overall.,8,31st July 2014,United Kingdom
94,26th July LGW to Orlando. Drinks service from the crew was good. Champagne upon boarding and a top up without requesting. It was greatly appreciated! Food was not outstanding but pleasant enough. Overall the cabin service was good. Several services of drinks and top ups when requested. What let this flight down was the number of unruly children on this flight. I was in an outside seat on the port side and an 8 or 9 year old child in front got out of her seat every five minutes or so continually throughout the flight and her younger sibling was also jointing her when she did manage to stay put. I attempted to avail myself of the flat bed but three times these children stood on my legs as they clambered over into their seat. The parents of these children never once intervened to check their children's behaviour although they were well aware of how they were behaving. My wife did not have much luck either. The couple to her rear were sat throughout the flight crossed legged in the isle playing with their children and their toys and my wife had to struggle passed them every time she wished to use the toilet. Surely a tripping hazard! There were many other children on the flight who were well behaved so it can be done if parents set boundaries for their offspring. Whilst BA cannot be held responsible for children's behaviour I feel that as we were in the Club World cabin some sort of announcement should be made by BA requesting passengers with children respect the comfort of fellow passengers. P.S. The Club Lounge at Gatwick was like a kindergarten but that is another story!,8,31st July 2014,United Kingdom
95,"LHR-CPH-LHR Business Class. This is a joke. Scruffy aircraft with ripped upholstery dirty cabin and chaotic/slow ""service"". I know it's a short flight (90 mins) but it shouldn't take over an hour to get one cup of cold stewed tea. Flight attendants including their ""manager"" didn't seem to have a clue what they were doing. Seats are actually narrow economy 3x3 configuration with the middle one kept vacant. Inflight entertainment? Easy there isn't any. For the price I paid this was an absolute disgrace. I seriously think I'd have a better experience with EasyJet.",4,31st July 2014,United Kingdom
96,LHR-CDG-LHR. Outbound A320 on 26/7 return A319 on 27/7 in Euro Traveller. Both flights boarded efficiently departed and arrived on time. Seats were a bit tired but comfortable enough for a 60 minute flight. Exit row (9) on A319 is worth taking if available as it provides extra legroom. Refreshments only as the flight is too short for anything else.,None,31st July 2014,United Kingdom
97,"Toronto to London in WTP on a 787 and London to Toronto in club world on 747. There were elements of both flights where BA seemed to be back to their old self. The Dreamliner in WTP was on time with some of the best cabin service I've experienced from a male attendant who smiled couldn't do enough and was just professional. BA seemed to have dropped some of the nice touches though so no hot towel soft drink before take off or menu cards - looks like WTP seems to have been demoted (again). Fast bar service and good entree before the WTP service morphed into WT for breakfast which has reverted to ""muffin or nuffin"" and Ts and Cs and juice from paper cups. It really is an insult after an overnight flight and is ill thought out and penny pinching. Landing early at Heathrow and fast bags ended a good overall flight. The return flight in club was one of my best ever. The lounge had a better range of hot and cold food though most of the furniture still needs replacing. On board two male crew upstairs on the jumbo were superb. Friendly helpful and starting off well with a 2nd champagne before take off due to delays in boarding. Fast bar service and an excellent lunch with the sea bass being exceptional. A calm oasis on the upper deck allowed some sleep before the now tired afternoon tea was served. Real personalised service with a smile reminded me of old times of BA at it's best. An on time landing and fast bags off finished an excellent flight. Why can't they do this more often? (Answer - variable cabin crew).",7,31st July 2014,Canada
98,12/2013. LHR-LAX. A380. Aircraft was clean. Seats were comfortable but the leg space was restricted by the IFE- computer which has been installed underneath the seat in front. Amenity kit contained a cushion blanket headphones and toothbrush. There were no eye shades and ear plugs. Food both ways the same selection: Tikka Masala or macaroni and cheese of average quality followed by a small ice cream and a sandwich or breakfast croissant. FA's lacked courteousness friendliness and motivation. There was on both flights repeatedly no reaction to the call button and they were several hours not present in the cabin. IFE-system is good with a big selection of movies documentaries etc. Due to a malfunction the system had to be restarted which erased the preferences. This experience with British Airways is not compatible to other flag carriers due to the lack in service and the restricted seating.,10,31st July 2014,Netherlands
99,I have used BA over the past 20 years as I chose to move my airmiles to their plan regretted it ever since and will use them up as soon as possible. Even when flying on a paid flight I find the staff snooty they have a bad customer attitude. At the moment I am trying to check in on a flight only chosen because it was the best option for my multiple stops and the on line check in does not work. Told by staff member never mind just do it at the airport not much point in reporting it because they won't do anything for 24 hours. That is good customer service as you can only check in 24 hours before hand. I have had lost luggage twice on the same trip had my seat changed for no reason (someone else was able to use my original choice so not a seat problem) flights changed but was able to change them back to the original booking. I have travelled economy and premium economy and flown 10 hours with no inflight entertainment.,5,29th July 2014,Canada
